,censustract,state,county,lilatracts_1and10,lilatracts_halfand10,lilatracts_1and20,lilatracts_vehicle,urban,rural,la1and10,lahalfand10,la1and20,latracts_half,latracts1,latracts10,latracts20,latractsvehicle_20,hunvflag,groupquartersflag,ohu2010,numgqtrs,pctgqtrs,lowincometracts,pop2010,uatyp10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
13992,11001007301,DC,District of Columbia,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,812,483.0,0.1603586,1,3012,U,1564.12804,0.519298818,390.3951514,0.129613264,478.9936692,0.505267584,7.495810375,0.535415027,5.056370682,0.006227057,397.1748999,0.131864177,99.13201238,0.032912355,49.48366538,0.052197959,2.766844278,0.197631734,0.539004029,0.000663798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13994,11001007401,DC,District of Columbia,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,771,19.0,0.0078708,1,2414,U,2348.49028,0.972862585,1798.969951,0.745223675,935.6343119,0.989042613,109.4609331,0.875687465,563.9190344,0.731412496,262.1167364,0.108581912,189.0188298,0.078301089,110.1916189,0.116481627,9.319776714,0.074558214,66.51522136,0.086271364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14011,11001007709,DC,District of Columbia,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,979,17.0,0.0084704,1,2007,U,2007.000007,1.000000004,892.248731,0.444568376,408.0000039,1.000000009,305.000002,1.000000007,336.1672734,0.343378216,460.1222355,0.229258712,204.4583611,0.101872626,94.55927116,0.23176292,69.52741199,0.227958728,81.60285524,0.083353274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14013,11001007804,DC,District of Columbia,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1212,216.0,0.0626814,1,3446,U,3445.999997,0.999999999,1982.15763,0.575205348,1013.999997,0.999999998,461.0000004,1.000000001,722.4255927,0.59606072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14016,11001007808,DC,District of Columbia,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1352,26.0,0.0071311,1,3646,U,2032.89682,0.557569067,1442.718434,0.395698967,716.0922299,0.649811461,179.4654271,0.381841334,343.0187739,0.253712111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14064,11001009903,DC,District of Columbia,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,644,0.0,0.0,1,1851,U,1774.813797,0.958840517,785.2761178,0.424244256,470.3704345,0.954098244,215.3253329,0.961273808,164.5465231,0.255507024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
